,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,35,technician,married,tertiary,no,16,yes,no,cellular,5,may,43,5,-1,0,unknown,no
1,35,blue-collar,married,secondary,no,262,no,no,cellular,15,sep,331,1,75,6,failure,yes
2,49,management,married,tertiary,no,53,no,no,cellular,12,aug,134,6,-1,0,unknown,no
3,53,services,married,secondary,no,1065,no,yes,cellular,24,jul,211,1,-1,0,unknown,no
4,42,technician,single,secondary,no,25,yes,no,cellular,21,aug,148,1,-1,0,unknown,no
5,33,technician,divorced,secondary,yes,6,no,no,cellular,22,aug,239,2,-1,0,unknown,no
6,58,retired,married,secondary,no,674,yes,no,unknown,26,may,80,1,-1,0,unknown,no
7,34,self-employed,married,tertiary,no,263,no,no,cellular,4,may,203,1,78,8,other,no
8,39,management,married,tertiary,no,0,no,no,cellular,22,aug,714,6,-1,0,unknown,no
9,28,services,single,secondary,no,805,yes,no,cellular,7,may,148,5,336,7,other,no
10,32,management,single,tertiary,no,643,no,no,cellular,22,oct,287,1,-1,0,unknown,no
11,27,blue-collar,single,secondary,no,5,yes,no,unknown,19,may,205,3,-1,0,unknown,no
12,38,blue-collar,married,secondary,no,13849,yes,no,cellular,9,apr,286,4,321,5,failure,no
13,41,admin.,married,primary,no,1316,yes,no,cellular,30,apr,127,3,-1,0,unknown,no
14,31,self-employed,single,tertiary,no,1788,no,no,cellular,27,aug,212,15,-1,0,unknown,no
15,32,technician,single,secondary,no,0,no,no,cellular,20,aug,92,4,-1,0,unknown,no
16,46,management,married,tertiary,no,37378,yes,no,cellular,14,oct,146,1,518,1,failure,no
17,48,technician,married,tertiary,no,0,no,no,cellular,19,aug,58,2,-1,0,unknown,no
18,36,technician,single,secondary,no,1044,yes,no,cellular,20,aug,15,19,-1,0,unknown,no
19,58,management,married,tertiary,no,0,no,no,cellular,31,jul,85,4,-1,0,unknown,no
20,53,technician,divorced,unknown,no,629,yes,no,cellular,8,may,298,1,-1,0,unknown,no
21,38,technician,single,tertiary,no,11,no,no,unknown,18,jun,78,3,-1,0,unknown,no
22,40,technician,married,tertiary,no,397,no,no,unknown,18,jun,50,1,-1,0,unknown,no
23,46,management,single,tertiary,no,2154,yes,no,cellular,21,jul,87,4,-1,0,unknown,no
24,32,services,married,secondary,no,1066,yes,no,cellular,5,feb,150,1,262,9,failure,no
25,32,technician,married,secondary,no,-91,yes,no,unknown,26,may,95,2,-1,0,unknown,no
26,34,technician,single,secondary,no,0,no,no,cellular,28,aug,54,4,-1,0,unknown,no
27,33,blue-collar,single,secondary,no,213,yes,no,unknown,2,jun,163,2,-1,0,unknown,no
28,31,management,single,tertiary,no,291,yes,no,cellular,15,may,48,1,-1,0,unknown,no
29,37,technician,single,tertiary,no,0,no,no,unknown,1,jul,1135,2,-1,0,unknown,yes
30,47,blue-collar,divorced,secondary,no,65,yes,no,unknown,9,may,205,1,-1,0,unknown,no
31,60,retired,divorced,secondary,no,306,yes,no,cellular,18,may,76,3,-1,0,unknown,no
32,42,blue-collar,married,unknown,no,345,yes,yes,cellular,28,jul,307,3,-1,0,unknown,no
33,59,blue-collar,divorced,secondary,no,61,yes,no,cellular,13,may,61,1,-1,0,unknown,no
34,29,management,married,tertiary,no,1671,yes,no,unknown,30,may,182,1,-1,0,unknown,no
35,55,blue-collar,married,secondary,no,-157,no,no,cellular,6,feb,354,5,-1,0,unknown,no
36,53,self-employed,divorced,secondary,no,8112,yes,yes,cellular,15,apr,75,1,146,1,failure,no
37,31,services,single,secondary,no,258,yes,no,cellular,18,may,409,3,-1,0,unknown,no
38,35,management,single,unknown,no,342,no,yes,cellular,2,feb,427,4,-1,0,unknown,no
39,31,admin.,divorced,secondary,no,1352,yes,no,unknown,20,may,6,2,-1,0,unknown,no
40,35,management,single,tertiary,no,1273,yes,no,unknown,2,jun,111,3,-1,0,unknown,no
41,40,management,married,tertiary,no,0,no,no,cellular,6,aug,131,2,98,6,success,yes
42,46,services,married,secondary,no,451,yes,yes,cellular,13,may,389,4,-1,0,unknown,no
43,31,technician,divorced,tertiary,yes,1200,no,no,cellular,19,nov,62,1,-1,0,unknown,no
44,26,blue-collar,single,secondary,no,-29,yes,no,unknown,8,may,196,1,-1,0,unknown,no
45,52,management,married,tertiary,no,2428,yes,no,cellular,28,jul,61,3,-1,0,unknown,no
46,40,entrepreneur,married,secondary,no,0,yes,no,cellular,25,jul,560,1,-1,0,unknown,no
47,75,retired,married,primary,no,962,no,no,cellular,17,jun,344,1,-1,0,unknown,no
48,38,student,single,unknown,no,9669,no,no,unknown,20,jun,15,3,-1,0,unknown,no
49,58,self-employed,married,tertiary,no,5810,no,no,cellular,12,mar,139,1,-1,0,unknown,yes
50,28,blue-collar,single,secondary,no,-46,yes,no,cellular,1,jun,154,2,91,12,success,yes
51,27,self-employed,single,tertiary,no,347,no,no,cellular,6,aug,385,4,-1,0,unknown,yes
52,29,admin.,single,secondary,no,260,yes,no,cellular,4,feb,453,2,273,2,failure,no
53,38,blue-collar,divorced,primary,no,-258,yes,no,cellular,14,may,134,2,370,4,other,no
54,34,admin.,married,tertiary,no,434,no,no,cellular,8,jul,165,3,-1,0,unknown,no
55,30,admin.,single,secondary,no,3528,no,no,cellular,4,aug,250,1,92,2,failure,yes
56,39,blue-collar,married,secondary,no,1554,yes,no,unknown,13,may,378,1,-1,0,unknown,no
57,53,admin.,divorced,secondary,no,0,yes,yes,cellular,30,apr,586,2,-1,0,unknown,no
58,61,retired,married,secondary,no,523,no,no,cellular,13,aug,211,3,183,4,success,yes
59,39,management,single,tertiary,no,26,yes,no,cellular,28,jul,110,18,-1,0,unknown,no
60,58,management,married,tertiary,no,1016,no,no,telephone,11,mar,78,2,91,1,failure,no
61,32,admin.,single,secondary,no,13,yes,no,unknown,27,may,88,2,-1,0,unknown,no
62,54,management,married,tertiary,no,17008,no,no,cellular,19,nov,151,2,-1,0,unknown,no
63,30,unknown,single,tertiary,no,6836,no,no,cellular,27,feb,30,3,-1,0,unknown,no
